ntot,workers,time_ms,pi
12000000,1,456.9243,3.1416993333333334
12000000,2,253.136,3.1421516666666665
12000000,3,179.7387,3.1413736666666665
12000000,4,155.9807,3.1416406666666665
12000000,5,131.3754,3.1420736666666667
12000000,6,107.6857,3.141863
12000000,7,103.4579,3.141279
12000000,8,106.5045,3.1417273333333333
12000000,9,127.2342,3.141594
48000000,1,1787.5075,3.14153575
48000000,2,984.6853,3.14126825
48000000,3,674.0231,3.1413309166666665
48000000,4,532.8106,3.1415954166666666
48000000,5,433.6971,3.1416000833333335
48000000,6,375.2118,3.1418268333333335
48000000,7,334.2263,3.1415621666666667
48000000,8,314.5633,3.1414891666666667
48000000,9,350.8398,3.1418375
120000000,1,4477.5706,3.1414786
120000000,2,2443.6368,3.1416449
120000000,3,1698.2913,3.1417618
120000000,4,1318.4708,3.1415678333333332
120000000,5,1075.6447,3.1412144333333334
120000000,6,917.1217,3.1413134
120000000,7,822.251,3.1419102
120000000,8,819.307,3.1416029
120000000,9,792.4199,3.141524866666667
